Running tool: /usr/bin/go test -benchmem -run=^$ -coverprofile=/tmp/vscode-goXHUl02/go-code-cover -bench . github.com/database64128/cubic-go-playground/logging

goos: linux
goarch: amd64
pkg: github.com/database64128/cubic-go-playground/logging
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkTslog/NoTime/Debug/FieldsAny-32                        	29206897	        63.94 ns/op	      56 B/op	       2 allocs/op
BenchmarkTslog/NoTime/Debug/FieldsAnyp-32                       	186670696	         6.413 ns/op	       0 B/op	       0 allocs/op
BenchmarkTslog/NoTime/Debug/FieldsString-32                     	 5425032	       202.1 ns/op	     144 B/op	       3 allocs/op
BenchmarkTslog/NoTime/Debug/FieldsMarshalText-32                	 8703537	       193.4 ns/op	     112 B/op	       2 allocs/op
BenchmarkTslog/NoTime/INFO/EnabledFieldsAny-32                  	 1604625	       766.8 ns/op	     264 B/op	       6 allocs/op
BenchmarkTslog/NoTime/INFO/EnabledFieldsAnyp-32                 	 1801236	       645.6 ns/op	     208 B/op	       4 allocs/op
BenchmarkTslog/NoTime/INFO/EnabledFieldsString-32               	 1840329	       655.9 ns/op	     176 B/op	       5 allocs/op
BenchmarkTslog/NoTime/INFO/EnabledFieldsMarshalText-32          	 1965858	       609.3 ns/op	     144 B/op	       4 allocs/op
BenchmarkTslog/NoTime/DEBUG/EnabledFieldsAny-32                 	1000000000	         0.2317 ns/op	       0 B/op	       0 allocs/op
BenchmarkTslog/NoTime/DEBUG/EnabledFieldsAnyp-32                	1000000000	         0.1732 ns/op	       0 B/op	       0 allocs/op
BenchmarkTslog/NoTime/DEBUG/EnabledFieldsString-32              	1000000000	         0.2546 ns/op	       0 B/op	       0 allocs/op
BenchmarkTslog/NoTime/DEBUG/EnabledFieldsMarshalText-32         	1000000000	         0.2113 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlogTint/Info-32                                       	 3577632	       337.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlogTint/Debug-32                                      	456364068	         2.581 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlogTint/INFO/Attr-32                                  	 3549312	       341.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlogTint/INFO/AttrFieldsAny-32                         	 1000000	      1005 ns/op	     264 B/op	       6 allocs/op
BenchmarkSlogTint/INFO/AttrFieldsAnyp-32                        	 1374247	       881.7 ns/op	     208 B/op	       4 allocs/op
BenchmarkSlogTint/INFO/AttrFieldsString-32                      	 1416710	       879.6 ns/op	     176 B/op	       5 allocs/op
BenchmarkSlogTint/INFO/EnabledAttrFieldsAny-32                  	 1215291	      1011 ns/op	     264 B/op	       6 allocs/op
BenchmarkSlogTint/INFO/EnabledAttrFieldsAnyp-32                 	 1351242	       887.7 ns/op	     208 B/op	       4 allocs/op
BenchmarkSlogTint/INFO/EnabledAttrFieldsString-32               	 1362165	       898.6 ns/op	     176 B/op	       5 allocs/op
BenchmarkSlogTint/DEBUG/Attr-32                                 	407887237	         2.713 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlogTint/DEBUG/AttrFieldsAny-32                        	29700105	        54.21 ns/op	      56 B/op	       2 allocs/op
BenchmarkSlogTint/DEBUG/AttrFieldsAnyp-32                       	146952769	         8.212 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlogTint/DEBUG/AttrFieldsString-32                     	 6318312	       232.3 ns/op	     144 B/op	       3 allocs/op
BenchmarkSlogTint/DEBUG/EnabledAttrFieldsAny-32                 	612405588	         1.828 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlogTint/DEBUG/EnabledAttrFieldsAnyp-32                	634277910	         1.814 ns/op	       0 B/op	       0 allocs/op
BenchmarkSlogTint/DEBUG/EnabledAttrFieldsString-32              	641736223	         1.855 ns/op	       0 B/op	       0 allocs/op
BenchmarkZerolog/Info-32                                        	 6004344	       196.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkZerolog/Info/FieldsString-32                           	 2710220	       456.1 ns/op	     144 B/op	       3 allocs/op
BenchmarkZerolog/Info/FieldsStringer-32                         	 2185195	       604.7 ns/op	     200 B/op	       5 allocs/op
BenchmarkZerolog/Info/FieldsStringerp-32                        	 2610787	       476.3 ns/op	     144 B/op	       3 allocs/op
BenchmarkZerolog/Debug-32                                       	944511373	         1.143 ns/op	       0 B/op	       0 allocs/op
